Currency	RateYear	RateMonth	AvgMthlyBuyingRate	AvgMthlyCentralRate	AvgMthlySellingRate
US DOLLAR	2002	1	112.915909	113.415909	113.915909
US DOLLAR	2002	2	113.752631	114.252631	114.752631
US DOLLAR	2002	3	115.060000	115.560000	116.060000
US DOLLAR	2002	4	115.130000	115.630000	116.130000
US DOLLAR	2002	5	115.550000	116.050000	116.550000
US DOLLAR	2002	6	117.695000	118.045000	118.545000
US DOLLAR	2002	7	122.843913	123.343913	123.843913
US DOLLAR	2002	8	124.530909	125.030909	125.530909
US DOLLAR	2002	9	125.475500	125.975500	126.475500
US DOLLAR	2002	10	125.476190	125.976190	126.476190
US DOLLAR	2002	11	125.822857	126.322857	126.822857
US DOLLAR	2002	12	125.887058	126.387058	126.887058
US DOLLAR	2003	1	126.090000	126.590000	127.090000
US DOLLAR	2003	2	126.502777	127.002777	127.502777
US DOLLAR	2003	3	126.365500	126.856500	127.365500
US DOLLAR	2003	4	126.533000	126.983000	127.483000
US DOLLAR	2003	5	126.668421	127.168421	127.668421
US DOLLAR	2003	6	126.900952	127.400952	127.900952
US DOLLAR	2003	7	126.960909	127.324545	127.824545
US DOLLAR	2003	8	127.105238	127.605238	128.105238
US DOLLAR	2003	9	127.672272	128.172272	128.672272
US DOLLAR	2003	10	128.787272	129.287272	129.787272
US DOLLAR	2003	11	135.606666	136.106666	136.606666
US DOLLAR	2003	12	136.219285	136.719285	137.219285
US DOLLAR	2004	1	135.038571	135.538571	136.038571
US DOLLAR	2004	2	134.155263	134.655263	135.155263
US DOLLAR	2004	3	133.471304	133.971304	134.471304
US DOLLAR	2004	4	132.490000	132.990000	133.490000
US DOLLAR	2004	5	132.011904	132.511904	133.011904
US DOLLAR	2004	6	131.750000	132.250000	132.750000
US DOLLAR	2004	7	131.797000	132.297000	132.797000
US DOLLAR	2004	8	131.829545	132.306818	132.784090
US DOLLAR	2004	9	131.844545	132.344545	132.844545
US DOLLAR	2004	10	131.881500	132.381500	132.881500
US DOLLAR	2004	11	131.921000	132.396000	132.871000
US DOLLAR	2004	12	131.857826	132.357826	132.857826
US DOLLAR	2005	1	131.860000	132.360000	132.860000
US DOLLAR	2005	2	131.853000	132.353000	132.853000
US DOLLAR	2005	3	131.853333	132.353333	132.853333
US DOLLAR	2005	4	131.852500	132.352500	132.852500
US DOLLAR	2005	5	131.819500	132.319500	132.819500
US DOLLAR	2005	6	131.868636	132.368636	132.868636
US DOLLAR	2005	7	131.869500	132.369500	132.869500
US DOLLAR	2005	8	131.089565	131.567826	132.046086
US DOLLAR	2005	9	128.517727	129.017727	129.517727
US DOLLAR	2005	10	128.542500	129.042500	129.542500
US DOLLAR	2005	11	128.364210	128.864210	129.364210
US DOLLAR	2005	12	128.001111	128.501111	129.001111
US DOLLAR	2006	1	128.000000	128.500000	129.000000
US DOLLAR	2006	2	127.325000	127.825000	128.325000
US DOLLAR	2006	3	126.477272	126.977272	127.477272
US DOLLAR	2006	4	126.195000	126.695000	127.195000
