Id	RateDate	Currency	RateYear	RateMonth	BuyingRate	CentralRate	SellingRate
1	2022-07-14	US DOLLAR	2022	July	413.9000	414.9000	415.9000
2	2022-07-13	US DOLLAR	2022	July	413.8300	414.8300	415.8300
3	2022-07-08	US DOLLAR	2022	July	413.7100	414.7100	415.7100
4	2022-07-07	US DOLLAR	2022	July	413.8300	414.8300	415.8300
5	2022-07-06	US DOLLAR	2022	July	413.7600	414.7600	415.7600
6	2022-07-05	US DOLLAR	2022	July	413.8300	414.8300	415.8300
7	2022-07-04	US DOLLAR	2022	July	413.8000	414.8000	415.8000
8	2022-07-01	US DOLLAR	2022	July	413.8600	414.8600	415.8600
9	2022-06-30	US DOLLAR	2022	June	413.7200	414.7200	415.7200
10	2022-06-29	US DOLLAR	2022	June	413.7700	414.7700	415.7700
11	2022-06-28	US DOLLAR	2022	June	413.6000	414.6000	415.6000
12	2022-06-27	US DOLLAR	2022	June	413.6400	414.6400	415.6400
13	2022-06-24	US DOLLAR	2022	June	414.5000	415.0000	415.5000
14	2022-06-23	US DOLLAR	2022	June	414.4900	414.9900	415.4900
15	2022-06-22	US DOLLAR	2022	June	414.5900	415.0900	415.5900
16	2022-06-21	US DOLLAR	2022	June	414.6500	415.1500	415.6500
17	2022-06-20	US DOLLAR	2022	June	414.7500	415.2500	415.7500
18	2022-06-17	US DOLLAR	2022	June	414.8200	415.3200	415.8200
19	2022-06-16	US DOLLAR	2022	June	414.8700	415.3700	415.8700
20	2022-06-15	US DOLLAR	2022	June	413.7900	414.7900	415.7900
21	2022-06-14	US DOLLAR	2022	June	414.7200	415.2200	415.7200
22	2022-06-09	US DOLLAR	2022	June	414.6300	415.1300	415.6300
23	2022-06-08	US DOLLAR	2022	June	414.6300	415.1300	415.6300
24	2022-06-07	US DOLLAR	2022	June	414.6300	415.1300	415.6300
25	2022-06-06	US DOLLAR	2022	June	414.6300	415.1300	415.6300
26	2022-06-03	US DOLLAR	2022	June	413.6300	414.6300	415.6300
