Rate_Date	Currency	Rate_Year	Rate_Month	Buying_Rate	Central_Rate	Selling_Rate	column8
2001-12-10	US DOLLAR	2001	December	111.8500	112.3500	112.8500	NULL
2001-12-11	US DOLLAR	2001	December	111.8500	112.3500	112.8500	NULL
2001-12-12	US DOLLAR	2001	December	111.8500	112.3500	112.8500	NULL
2001-12-13	US DOLLAR	2001	December	111.8500	112.3500	112.8500	NULL
2001-12-14	US DOLLAR	2001	December	112.1000	112.6000	113.1000	NULL
2001-12-18	US DOLLAR	2001	December	112.1000	112.6000	113.1000	NULL
2001-12-19	US DOLLAR	2001	December	112.1000	112.6000	113.1000	NULL
2001-12-20	US DOLLAR	2001	December	112.1000	112.6000	113.1000	NULL
2001-12-21	US DOLLAR	2001	December	112.1000	112.6000	113.1000	NULL
2001-12-24	US DOLLAR	2001	December	112.3500	112.8500	113.3500	NULL
2001-12-27	US DOLLAR	2001	December	112.3500	112.8500	113.3500	NULL
2001-12-28	US DOLLAR	2001	December	112.4500	112.9500	113.4500	NULL
2001-12-31	US DOLLAR	2001	December	112.4500	112.9500	113.4500	NULL
2002-01-02	US DOLLAR	2002	January	112.4500	112.9500	113.4500	NULL
2002-01-03	US DOLLAR	2002	January	112.4500	112.9500	113.4500	NULL
2002-01-04	US DOLLAR	2002	January	112.7000	113.2000	113.7000	NULL
2002-01-07	US DOLLAR	2002	January	112.7000	113.2000	113.7000	NULL
2002-01-08	US DOLLAR	2002	January	112.7000	113.2000	113.7000	NULL
2002-01-09	US DOLLAR	2002	January	112.7000	113.2000	113.7000	NULL
2002-01-10	US DOLLAR	2002	January	112.9500	113.4500	113.9500	NULL
2002-01-11	US DOLLAR	2002	January	112.9500	113.4500	113.9500	NULL
2002-01-14	US DOLLAR	2002	January	112.9500	113.4500	113.9500	NULL
2002-01-15	US DOLLAR	2002	January	112.9500	113.4500	113.9500	NULL
2002-01-16	US DOLLAR	2002	January	112.9500	113.4500	113.9500	NULL
2002-01-17	US DOLLAR	2002	January	112.9500	113.4500	113.9500	NULL
2002-01-18	US DOLLAR	2002	January	112.9500	113.4500	113.9500	NULL
2002-01-21	US DOLLAR	2002	January	112.9500	113.4500	113.9500	NULL
2002-01-22	US DOLLAR	2002	January	112.9500	113.4500	113.9500	NULL
