Currency	RateYear	USDNGN	ChangeRate
US DOLLAR	2002	0.0079122025294710159326598139502	NULL
US DOLLAR	2003	0.0073142570925528172561756741194	-7.56%
US DOLLAR	2004	0.0075552767087606893754812805704	3.30%
US DOLLAR	2005	0.0077820338845163758934348824423	3.00%
US DOLLAR	2006	0.0079040860030319125417310052680	1.57%
US DOLLAR	2007	0.0085873331957757053146009018005	8.64%
US DOLLAR	2008	0.0077775140077110473730011487621	-9.43%
US DOLLAR	2009	0.0067700005245396406413313568903	-12.95%
US DOLLAR	2010	0.0067313302030000232836711721770	-0.57%
US DOLLAR	2011	0.0064044677567070788582114883342	-4.86%
US DOLLAR	2012	0.0064405470046738727585568060915	0.56%
US DOLLAR	2013	0.0064425932726441047050258670119	0.03%
US DOLLAR	2014	0.0059701492537313432835820895522	-7.33%
US DOLLAR	2015	0.0050894081781700015013754125601	-14.75%
US DOLLAR	2016	0.0032816615593292709076069059338	-35.52%
US DOLLAR	2017	0.0032699626774307908475366560200	-0.36%
US DOLLAR	2018	0.0032634833457852628219551964725	-0.20%
US DOLLAR	2019	0.0032631750693424702235274922499	-0.01%
US DOLLAR	2020	0.0026350461133069828722002635046	-19.25%
US DOLLAR	2021	0.0024323037747381985575528934190	-7.69%
US DOLLAR	2022	0.0024107132095030314718609500620	-0.89%
