Id	RateDate	Currency	RateYear	RateMonth	BuyingRate	CentralRate	SellingRate
1	2022-06-23	US DOLLAR	2022	June	414.49	414.99	415.49
2	2022-06-22	US DOLLAR	2022	June	414.59	415.09	415.59
3	2022-06-21	US DOLLAR	2022	June	414.65	415.15	415.65
4	2022-06-20	US DOLLAR	2022	June	414.75	415.25	415.75
5	2022-06-17	US DOLLAR	2022	June	414.82	415.32	415.82
6	2022-06-16	US DOLLAR	2022	June	414.87	415.37	415.87
7	2022-06-15	US DOLLAR	2022	June	413.79	414.79	415.79
8	2022-06-14	US DOLLAR	2022	June	414.72	415.22	415.72
9	2022-06-09	US DOLLAR	2022	June	414.63	415.13	415.63
10	2022-06-08	US DOLLAR	2022	June	414.63	415.13	415.63
11	2022-06-07	US DOLLAR	2022	June	414.63	415.13	415.63
12	2022-06-06	US DOLLAR	2022	June	414.63	415.13	415.63
13	2022-06-03	US DOLLAR	2022	June	413.63	414.63	415.63
14	2022-06-02	US DOLLAR	2022	June	414.62	415.12	415.62
15	2022-06-01	US DOLLAR	2022	June	414.58	415.08	415.58
16	2022-05-31	US DOLLAR	2022	May	414.65	415.15	415.65
17	2022-05-30	US DOLLAR	2022	May	414.57	415.07	415.57
18	2022-05-27	US DOLLAR	2022	May	414.63	415.13	415.63
19	2022-05-26	US DOLLAR	2022	May	414.72	415.22	415.72
20	2022-05-25	US DOLLAR	2022	May	414.72	415.22	415.72
21	2022-05-24	US DOLLAR	2022	May	414.68	415.18	415.68
22	2022-05-23	US DOLLAR	2022	May	414.68	415.18	415.68
23	2022-05-20	US DOLLAR	2022	May	414.58	415.08	415.58
24	2022-05-19	US DOLLAR	2022	May	414.62	415.12	415.62
25	2022-05-18	US DOLLAR	2022	May	414.62	415.12	415.62
26	2022-05-17	US DOLLAR	2022	May	414.68	415.18	415.68
27	2022-05-16	US DOLLAR	2022	May	414.75	415.25	415.75
28	2022-05-13	US DOLLAR	2022	May	413.74	414.74	415.74
29	2022-05-12	US DOLLAR	2022	May	413.76	414.76	415.76
30	2022-05-11	US DOLLAR	2022	May	413.83	414.83	415.83
31	2022-05-09	US DOLLAR	2022	May	413.83	414.83	415.83
32	2022-05-06	US DOLLAR	2022	May	414.80	415.30	415.80
33	2022-05-05	US DOLLAR	2022	May	414.69	415.19	415.69
34	2022-05-04	US DOLLAR	2022	May	414.62	415.12	415.62
35	2022-04-29	US DOLLAR	2022	April	414.69	415.19	415.69
36	2022-04-28	US DOLLAR	2022	April	414.76	415.26	415.76
37	2022-04-27	US DOLLAR	2022	April	414.83	415.33	415.83
38	2022-04-26	US DOLLAR	2022	April	414.92	415.42	415.92
39	2022-04-25	US DOLLAR	2022	April	414.98	415.48	415.98
40	2022-04-22	US DOLLAR	2022	April	414.08	415.08	416.08
41	2022-04-21	US DOLLAR	2022	April	415.08	415.58	416.08
42	2022-04-20	US DOLLAR	2022	April	415.08	415.58	416.08
43	2022-04-19	US DOLLAR	2022	April	415.00	415.50	416.00
44	2022-04-14	US DOLLAR	2022	April	414.00	415.00	416.00
45	2022-04-13	US DOLLAR	2022	April	414.03	415.03	416.03
46	2022-04-12	US DOLLAR	2022	April	414.08	415.08	416.08
47	2022-04-11	US DOLLAR	2022	April	414.09	415.09	416.09
48	2022-04-08	US DOLLAR	2022	April	415.12	415.62	416.12
49	2022-04-07	US DOLLAR	2022	April	415.15	415.65	416.15
50	2022-04-06	US DOLLAR	2022	April	415.15	415.65	416.15
51	2022-04-04	US DOLLAR	2022	April	415.22	415.72	416.22
52	2022-04-01	US DOLLAR	2022	April	415.22	415.72	416.22
53	2022-03-30	US DOLLAR	2022	March	415.25	415.75	416.25
54	2022-03-29	US DOLLAR	2022	March	415.22	415.72	416.22
55	2022-03-29	US DOLLAR	2022	March	415.25	415.75	416.25
56	2022-03-28	US DOLLAR	2022	March	415.25	415.75	416.25
57	2022-03-25	US DOLLAR	2022	March	415.23	415.73	416.23
58	2022-03-24	US DOLLAR	2022	March	415.25	415.75	416.25
59	2022-03-23	US DOLLAR	2022	March	415.25	415.75	416.25
60	2022-03-22	US DOLLAR	2022	March	415.25	415.75	416.25
61	2022-03-21	US DOLLAR	2022	March	415.32	415.82	416.32
62	2022-03-18	US DOLLAR	2022	March	415.39	415.89	416.39
63	2022-03-17	US DOLLAR	2022	March	415.42	415.92	416.42
64	2022-03-16	US DOLLAR	2022	March	415.42	415.92	416.42
65	2022-03-15	US DOLLAR	2022	March	415.42	415.92	416.42
66	2022-03-14	US DOLLAR	2022	March	415.45	415.95	416.45
67	2022-03-11	US DOLLAR	2022	March	415.30	415.80	416.30
68	2022-03-10	US DOLLAR	2022	March	415.34	415.84	416.34
69	2022-03-09	US DOLLAR	2022	March	415.34	415.84	416.34
70	2022-03-08	US DOLLAR	2022	March	415.34	415.84	416.34
71	2022-03-07	US DOLLAR	2022	March	415.34	415.84	416.34
72	2022-03-04	US DOLLAR	2022	March	415.27	415.77	416.27
73	2022-03-03	US DOLLAR	2022	March	415.41	415.91	416.41
74	2022-03-02	US DOLLAR	2022	March	415.36	415.86	416.36
75	2022-03-01	US DOLLAR	2022	March	415.46	415.96	416.46
76	2022-02-28	US DOLLAR	2022	February	415.59	416.09	416.59
77	2022-02-25	US DOLLAR	2022	February	415.52	416.02	416.52
78	2022-02-24	US DOLLAR	2022	February	415.39	415.89	416.39
79	2022-02-23	US DOLLAR	2022	February	415.39	415.89	416.39
80	2022-02-22	US DOLLAR	2022	February	415.39	415.89	416.39
81	2022-02-21	US DOLLAR	2022	February	415.39	415.89	416.39
82	2022-02-18	US DOLLAR	2022	February	415.37	415.87	416.37
83	2022-02-17	US DOLLAR	2022	February	415.37	415.87	416.37
84	2022-02-16	US DOLLAR	2022	February	415.37	415.87	416.37
85	2022-02-15	US DOLLAR	2022	February	415.31	415.81	416.31
86	2022-02-14	US DOLLAR	2022	February	415.31	415.81	416.31
87	2022-02-11	US DOLLAR	2022	February	415.91	416.41	416.91
88	2022-02-10	US DOLLAR	2022	February	416.51	417.01	417.51
89	2022-02-09	US DOLLAR	2022	February	416.37	416.87	417.37
90	2022-02-08	US DOLLAR	2022	February	416.25	416.75	417.25
91	2022-02-07	US DOLLAR	2022	February	416.05	416.55	417.05
92	2022-02-04	US DOLLAR	2022	February	415.88	416.38	416.88
93	2022-02-03	US DOLLAR	2022	February	415.71	416.21	416.71
94	2022-02-02	US DOLLAR	2022	February	415.54	416.04	416.54
95	2022-02-01	US DOLLAR	2022	February	415.36	415.86	416.36
96	2022-01-31	US DOLLAR	2022	January	414.26	415.26	416.26
97	2022-01-28	US DOLLAR	2022	January	415.33	415.83	416.33
98	2022-01-27	US DOLLAR	2022	January	415.16	415.66	416.16
99	2022-01-26	US DOLLAR	2022	January	414.99	415.49	415.99
100	2022-01-25	US DOLLAR	2022	January	414.82	415.32	415.82
101	2022-01-24	US DOLLAR	2022	January	414.64	415.14	415.64
102	2022-01-21	US DOLLAR	2022	January	414.53	415.03	415.53
103	2022-01-20	US DOLLAR	2022	January	414.45	414.95	415.45
104	2022-01-19	US DOLLAR	2022	January	414.30	414.80	415.30
105	2022-01-18	US DOLLAR	2022	January	414.17	414.67	415.17
106	2022-01-17	US DOLLAR	2022	January	414.00	414.50	415.00
107	2022-01-14	US DOLLAR	2022	January	413.89	414.39	414.89
108	2022-01-13	US DOLLAR	2022	January	413.79	414.29	414.79
109	2022-01-12	US DOLLAR	2022	January	413.61	414.11	414.61
110	2022-01-11	US DOLLAR	2022	January	413.44	413.94	414.44
111	2022-01-10	US DOLLAR	2022	January	413.26	413.76	414.26
112	2022-01-07	US DOLLAR	2022	January	413.14	413.64	414.14
113	2022-01-06	US DOLLAR	2021	January	412.96	413.46	413.96
114	2022-01-05	US DOLLAR	2022	January	412.79	413.29	413.79
115	2022-01-04	US DOLLAR	2022	January	412.67	413.17	413.67
116	2021-12-31	US DOLLAR	2021	December	412.49	412.99	413.49
117	2021-12-30	US DOLLAR	2021	December	411.70	412.20	412.70
118	2021-12-29	US DOLLAR	2021	December	411.00	411.50	412.00
119	2021-12-24	US DOLLAR	2021	December	410.95	411.45	411.95
120	2021-12-23	US DOLLAR	2021	December	410.90	411.40	411.90
121	2021-12-22	US DOLLAR	2021	December	410.93	411.43	411.93
122	2021-12-21	US DOLLAR	2021	December	410.92	411.42	411.92
123	2021-12-20	US DOLLAR	2021	December	410.91	411.41	411.91
124	2021-12-17	US DOLLAR	2021	December	409.91	410.91	411.91
125	2021-12-16	US DOLLAR	2021	December	409.91	410.91	411.91
126	2021-12-15	US DOLLAR	2021	December	409.83	410.83	411.83
127	2021-12-14	US DOLLAR	2021	December	409.73	410.73	411.73
128	2021-12-13	US DOLLAR	2021	December	409.72	410.72	411.72
129	2021-12-10	US DOLLAR	2021	December	409.76	410.76	411.76
130	2021-12-09	US DOLLAR	2021	December	409.75	410.75	411.75
131	2021-12-08	US DOLLAR	2021	December	409.74	410.74	411.74
132	2021-12-07	US DOLLAR	2021	December	409.74	410.74	411.74
133	2021-12-06	US DOLLAR	2021	December	409.73	410.73	411.73
134	2021-12-03	US DOLLAR	2021	December	409.74	410.74	411.74
135	2021-12-02	US DOLLAR	2021	December	409.73	410.73	411.73
136	2021-12-01	US DOLLAR	2021	December	409.70	410.70	411.70
137	2021-11-30	US DOLLAR	2021	November	409.66	410.66	411.66
138	2021-11-29	US DOLLAR	2021	November	409.64	410.64	411.64
139	2021-11-26	US DOLLAR	2021	November	409.64	410.64	411.64
140	2021-11-25	US DOLLAR	2021	November	409.64	410.64	411.64
141	2021-11-24	US DOLLAR	2021	November	409.63	410.63	411.63
142	2021-11-23	US DOLLAR	2021	November	409.64	410.64	411.64
143	2021-11-22	US DOLLAR	2021	November	409.63	410.63	411.63
144	2021-11-19	US DOLLAR	2021	November	410.59	411.09	411.59
145	2021-11-18	US DOLLAR	2020	November	410.59	411.09	411.59
146	2021-11-17	US DOLLAR	2021	November	410.57	411.07	411.57
147	2021-11-16	US DOLLAR	2021	November	410.54	411.04	411.54
148	2021-11-15	US DOLLAR	2021	November	410.43	410.93	411.43
149	2021-11-12	US DOLLAR	2021	November	410.42	410.92	411.42
150	2021-11-11	US DOLLAR	2021	November	410.39	410.89	411.39
151	2021-11-10	US DOLLAR	2021	November	410.37	410.87	411.37
152	2021-11-09	US DOLLAR	2021	November	410.34	410.84	411.34
153	2021-11-08	US DOLLAR	2021	November	410.32	410.82	411.32
154	2021-11-05	US DOLLAR	2021	November	410.29	410.79	411.29
